t,Accel_Longitudinal[g],GPSVehicleSpeed[km/h],AccPedPos,EngineSpeed,EnToq,GearPos
272.5323914,0,0,0,10.06137212,0.318031528,0
272.5823914,0,0,0,20.12274425,0.637623567,0
272.6323914,0,0,0,30.18411637,0.957215606,0
272.6823914,0,0,0,40.24548849,1.276807644,0
272.7323914,0,0,0,50.30686062,1.596399683,0
272.7823914,0,0,0,60.36823274,1.915991722,0
272.8323914,0,0,0,70.42960487,2.23558376,0
272.8823914,0,0,0,80.49097699,2.555175799,0
272.9323914,0,0,0,90.55234911,2.874767838,0
272.9823914,0,0,0,100.6137212,3.194359876,0
273.0323914,0,0,0,110.6750934,3.513951915,0
273.0823914,0,0,0,120.7364655,3.833543954,0
273.1323914,0,0,0,130.7978376,4.153135992,0
273.1823914,0,0,0,140.8592097,4.472728031,0
273.2323914,0,0,0,150.9205819,4.79232007,0
273.2823914,0,0,0,160.981954,5.111912108,0
273.3323914,0,0,0,171.0433261,5.431504147,0
273.3823914,0,0,0,181.1046982,5.751096186,0
273.4323914,0,0,0,191.1660704,6.070688225,0
273.4823914,0,0,0,201.2274425,6.390280263,0
273.5323914,0,0,0,211.2888146,6.709872302,0
273.5823914,0,0,0,221.3501867,7.029464341,0
273.6323914,0,0,0,231.4115588,7.349056379,0
273.6823914,0,0,0,241.472931,7.668648418,0
273.7323914,0,0,0,251.5343031,7.988240457,0
273.7823914,0,0,0,261.5956752,8.307832495,0
273.8323914,0,0,0,271.6570473,8.627424534,0
273.8823914,0,0,0,281.7184195,8.947016573,0
273.9323914,0,0,0,291.7797916,9.266608611,0
273.9823914,0,0,0,301.8411637,9.58620065,0
274.0323914,0,0,0,311.9025358,9.905792689,0
274.0823914,0,0,0,321.963908,10.22538473,0
274.1323914,0,0,0,332.0252801,10.54497677,0
274.1823914,0,0,0,342.0866522,10.8645688,0
274.2323914,0,0,0,352.1480243,11.18416084,0
274.2823914,0,0,0,362.2093965,11.50375288,0
274.3323914,0,0,0,372.2707686,11.82334492,0
274.3823914,0,0,0,382.3321407,12.14293696,0
274.4323914,0,0,0,392.3935128,12.462529,0
274.4823914,0,0,0,402.4548849,12.78212104,0
274.5323914,0,0,0,412.5162571,13.10171308,0
274.5823914,0,0,0,422.5776292,13.42130511,0
274.6323914,0,0,0,432.6390013,13.74089715,0
274.6823914,0,0,0,442.7003734,14.06048919,0
274.7323914,0,0,0,452.7617456,14.38008123,0
274.7823914,0,0,0,462.8231177,14.69967327,0
274.8323914,0,0,0,472.8844898,15.01926531,0
274.8823914,0,0,0,482.9458619,15.33885735,0
274.9323914,0,0,0,493.0072341,15.65844938,0
274.9823914,0.000341791,0.001836891,0,503.0686062,15.97804142,0
275.0323914,0.002655803,0.015642219,0,513.1299783,16.29763346,0.022677155
275.0823914,0.004969814,0.029447547,0,523.1913504,16.6172255,0.04936076
275.1323914,0.007283826,0.043252874,0,533.2527226,16.93681754,0.076044364
275.1823914,0.009597837,0.057058202,0,543.3140947,17.25640958,0.102727969
275.2323914,0.011911849,0.07086353,0,553.3754668,17.57600162,0.129411573
275.2823914,0.01422586,0.084668858,0,563.4368389,17.89559366,0.156095178
275.3323914,0.016539872,0.098474186,0,573.4982111,18.21518569,0.182778782
275.3823914,0.018853883,0.112279514,0,583.5595832,18.53477773,0.209462387
275.4323914,0.021167895,0.126084842,0,593.6209553,18.85436977,0.236145991
275.4823914,0.023481907,0.13989017,0,603.6823274,19.17396181,0.262829596
275.5323914,0.025795918,0.153695498,0,613.7436995,19.49355385,0.2895132
275.5823914,0.02810993,0.167500826,0,623.8050717,19.81314589,0.316196805
275.6323914,0.030423941,0.181306154,0,633.8664438,20.13273793,0.342880409
275.6823914,0.032737953,0.195111482,0,643.9278159,20.45232997,0.369564014
275.7323914,0.035051964,0.20891681,0,653.989188,20.771922,0.396247618
275.7823914,0.037365976,0.222722138,0,664.0505602,21.09151404,0.422931223
275.8323914,0.039679987,0.236527466,0,674.1119323,21.41110608,0.449614827
275.8823914,0.041993999,0.250332794,0,684.1733044,21.73069812,0.476298432
275.9323914,0.04430801,0.264138122,0,694.2346765,22.05029016,0.502982036
275.9823914,0.046622022,0.27794345,0,704.2960487,22.3698822,0.529665641
276.0323914,0.048936033,0.291748778,0,714.3574208,22.68947424,0.556349245
276.0823914,0.051250045,0.305554106,0,724.4187929,23.00906627,0.58303285
276.1323914,0.053564056,0.319359434,0,734.480165,23.32865831,0.609716454
276.1823914,0.055878068,0.333164762,0,744.5415372,23.64825035,0.636400059
276.2323914,0.058192079,0.34697009,0,754.6029093,23.96784239,0.663083663
276.2823914,0.060506091,0.360775418,0,764.6642814,24.28743443,0.689767268
276.3323914,0.062820102,0.374580746,0,774.7256535,24.60702647,0.716450872
276.3823914,0.065134114,0.388386074,0,784.7870256,24.92661851,0.743134477
276.4323914,0.067448125,0.402191402,0,794.8483978,25.24621055,0.769818081
276.4823914,0.069762137,0.41599673,0,804.9097699,25.56580258,0.796501686
276.5323914,0.072076149,0.429802058,0,814.971142,25.88539462,0.82318529
276.5823914,0.07439016,0.443607386,0,825.0325141,26.20498666,0.849868895
276.6323914,0.076704172,0.457412714,0,835.0938863,26.5245787,0.876552499
276.6823914,0.079018183,0.471218042,0,845.1552584,26.84417074,0.903236103
276.7323914,0.081332195,0.48502337,0,855.2166305,27.16376278,0.929919708
276.7823914,0.083646206,0.498828698,0,865.2780026,27.48335482,0.956603312
276.8323914,0.085960218,0.512634026,0,875.3393748,27.80294685,0.983286917
276.8823914,0.085845678,0.563274846,0,878.0512195,28.21425286,1
276.9323914,0.082396284,0.661874241,0,871.8631957,30,1
276.9823914,0.086776028,0.759379461,0,867.031106,31,1
277.0323914,0.080232001,0.790908167,0,863.5,31,1
277.0823914,0.076769084,0.861321152,0,858.7052434,31.57532711,1
277.1323914,0.083483228,0.919028834,0,858.4569554,31.07206699,1
277.1823914,0.072701885,0.943770823,0,858.1062921,32,1
277.2323914,0.083486649,1.001728156,0,856.2816635,31,1
277.2823914,0.07337736,1.095711354,0,856.0534335,31,1
277.3323914,0.084342334,1.168967463,0,853.6807947,32,1
277.3823914,0.080932078,1.220223672,0,854.2881481,31.57333334,1
277.4323914,0.078702702,1.296239947,0,855.1013986,31,1
277.4823914,0.080974998,1.337862251,0,854.3472528,31,1
277.5323914,0.076998117,1.380255083,0,852.7179104,32,1
277.5823914,0.084126815,1.453762507,0,854.4316027,32,1
277.6323914,0.079464705,1.532056918,0,854.392,31,1
277.6823914,0.082553272,1.584654428,0,854.5897143,31,1
277.7323914,0.083641978,1.660049981,0,851.5,31.94736844,1
277.7823914,0.074776252,1.735926619,0,849.5747748,31.19459461,1
277.8323914,0.083999999,1.800419963,0,848,32,1
277.8823914,0.075137502,1.894305637,0,846.5,32,1
277.9323914,0.084010335,1.976745278,0,842.3879913,32,1
277.9823914,0.082704764,2.051612521,0,840.8949903,32,1
278.0323914,0.075710365,2.109983709,0,839,33,1
278.0823914,0.08367736,2.202196891,0,837.6074725,32,1
278.1323914,0.072759132,2.224094057,0,836.2202627,32,1
278.1823914,0.082557764,2.279998116,0,836.9737668,32,1
278.2323914,0.072633136,2.342495998,0,835.1336117,30.74137933,1
278.2823914,0.083582606,2.464970124,0,831.1280899,28,1
278.3323914,0.076772754,2.576489733,0,825.0353488,28.01975902,1
278.3823914,0.073751096,2.611851987,0,817.9027088,28,1
278.4323914,0.08362614,2.619212448,0,809.9460111,28.45999998,1
278.4823914,0.079999998,2.68168448,0,804.6123853,28,1
278.5323914,0.07874286,2.740456577,0,797.2042735,28,1
278.5823914,0.077700955,2.856120229,0,787.900396,28,1
278.6323914,0.081761214,2.966575821,0,779.5728133,28,1
278.6823914,0.074436478,3.010969898,0,772.9106431,28,1
278.7323914,0.075516818,3.0444839,0,763.1560748,28.56079855,1
278.7823914,0.081884733,3.08041293,0,756.1469526,28,1
278.8323914,0.080997563,3.199301543,0,751.532321,29,1
278.8823914,0.076373587,3.284623814,0,745.3770992,29.54618321,1
278.9323914,0.071338036,3.328600123,0,738.6531322,30,1
278.9823914,0.074540883,3.407471587,0,733.2839644,31,1
279.0323914,0.077497591,3.50209579,0,729.450478,31,1
279.0823914,0.077866664,3.601712614,0,725,31.93083331,1
279.1323914,0.073819317,3.640540011,2.018758485,722.7716129,35,1
279.1823914,0.078490568,3.685055566,6.626414101,722.4156556,36,1
279.2323914,0.073683431,3.767582088,11.19210073,717.0366972,40.89016017,1
279.2823914,0.080204405,3.830878561,14.5940231,717.8140969,57.75242288,1
279.3323914,0.083647705,3.904234349,17.84413624,733.9974591,78.86855129,1
279.3823914,0.087550944,3.973274586,19.6953125,773.8179829,93.68888901,1
279.4323914,0.106577977,4.08059719,19.6953125,841.5590025,99.46498952,1
279.4823914,0.106716979,4.180590019,19.6953125,933.2578562,88.52767527,1
279.5323914,0.138929414,4.293064805,19.6953125,1009.133334,78.87368429,1
279.5823914,0.132899688,4.41956729,19.6953125,1063.101057,68.61353083,1
279.6323914,0.149128392,4.616604895,19.6953125,1110.831818,70.89264704,1
279.6823914,0.140656602,4.793925307,19.6953125,1139.114415,63.93810525,1
279.7323914,0.140679998,4.970480054,19.6953125,1153.606593,61.25635593,1
279.7823914,0.138652153,5.149067073,19.6953125,1157.435401,61,1
279.8323914,0.13440901,5.330927152,19.6953125,1169.262115,60.08018225,1
279.8823914,0.143457866,5.484522862,19.6953125,1174.09638,59.81877934,1
279.9323914,0.150750303,5.674220288,19.6953125,1177,60,1
279.9823914,0.139047024,5.882093066,19.6953125,1179.121444,59.09034905,1
280.0323914,0.143766772,6.084598361,19.6953125,1181.742917,60.28705886,1
280.0823914,0.140916083,6.239172663,19.6953125,1183.932103,60,1
280.1323914,0.151277397,6.38044963,19.6953125,1185.532176,61,1
280.1823914,0.128240255,6.569139733,19.6953125,1188.277204,60.21291763,1
280.2323914,0.144734751,6.788684147,19.6953125,1191.229981,61,1
280.2823914,0.133708175,6.947847072,19.65214844,1192.477471,61,1
280.3323914,0.138985187,7.165496982,19.546875,1194.389339,60.737037,1
280.3823914,0.133460372,7.285041634,19.546875,1193.410019,59.85086702,1
280.4323914,0.138815196,7.493808014,19.39453125,1198.077632,60.93786845,1
280.4823914,0.132744477,7.657215557,19.39453125,1201,60,1
280.5323914,0.124357276,7.809064337,19.39453125,1206,60,1
280.5823914,0.13057333,7.9600466,19.39453125,1208.963901,59.91572325,1
280.6323914,0.113797635,8.111192226,19.39453125,1214,59.76149068,1
280.6823914,0.119505661,8.318231148,19.39453125,1219.280755,60,1
280.7323914,0.117173914,8.500885511,19.39453125,1225.46445,59,1
280.7823914,0.118064151,8.650363437,19.39453125,1231.587582,58.15773422,1
280.8323914,0.119091888,8.804875278,19.39453125,1238,58,1
280.8823914,0.128999993,8.938817768,19.39453125,1243.934746,58.04681726,1
280.9323914,0.122103409,9.085433105,19.39453125,1249.81855,58.25330578,1
280.9823914,0.115547167,9.223479002,19.39453125,1254.373757,58,1
281.0323914,0.121214284,9.370069403,19.34906395,1259.947564,56.96726455,2
281.0823914,0.121545912,9.524168456,19.2421875,1264.090667,57.17004606,2
281.1323914,0.107749853,9.629125394,19.08984375,1273.157836,56.89945553,2
281.1823914,0.107461635,9.763505912,18.89287539,1286.455929,56.91614352,2
281.2323914,0.101735119,9.885483378,18.08741918,1292.284483,54.73541669,2
281.2823914,0.106492681,10.02567017,15.07482532,1292.277009,43.67927266,2
281.3323914,0.079746462,10.09292296,10.99117189,1277.266667,33.33504271,2
281.3823914,0.062526251,10.13582687,7.2786063,1267.990044,30.77247704,2
281.4323914,0.04126012,10.18420978,5.796439548,1260.963894,26.39486234,2
281.4823914,0.033299685,10.20085912,5,1264.374454,21.93660531,2
281.5323914,0.024476737,10.22280931,4.282677797,1264.133197,7.038655433,2
281.5823914,0.01227,10.20051832,2.761057147,1243.711776,-0.560479033,2
281.6323914,0.000604776,10.23339498,0.094217352,1231.577253,-3,2
281.6823914,0.025845141,10.20798509,0,1208.531276,-6.237446823,2
281.7323914,0.037860466,10.20022806,0,1178.679159,-8.521978025,2
281.7823914,0.000690683,10.20454491,0,1144.676126,-11,2
281.8323914,-0.013742197,10.14687354,0,1118.415723,-13,2
281.8823914,0.005716456,10.07750818,0,1080.539189,-9.440525311,2
281.9323914,0.014171429,10.01280407,0,1037.066809,-7.160879142,2
281.9823914,0.007,9.992891022,0,984.4784946,-8.801781703,2
282.0323914,-0.026465487,9.954726791,0,966.9635338,-12,2
282.0823914,-0.022456783,9.884161703,0,952.352654,-11.0455852,2
282.1323914,-0.009822286,9.840861622,0,939.843469,-10,2
282.1823914,0.008873817,9.821077603,0,923.7914657,-8.450180514,2
282.2323914,-0.007511628,9.848411272,0,910.7995392,-7.043062171,2
282.2823914,-0.012157233,9.783887268,0,898.3033113,-5.827853908,2
282.3323914,-0.007365559,9.769960488,0,886.123106,-5,2
282.3823914,-0.00393123,9.692210094,0,870.5482609,-4,2
282.4323914,-0.004554303,9.689313681,0,857.0627119,-4,2
282.4823914,-0.009235849,9.635776764,0,844.2777777,-4,2
282.5323914,-0.00408597,9.610132146,0,829.3878923,-4,2
282.5823914,-0.005617035,9.574724297,0,814.4913044,-4,2
282.6323914,0.000218768,9.548581828,0,799.442173,-4,2
282.6823914,-0.00683,9.572087278,0,785.8463088,-4,2
282.7323914,-0.006325,9.583046178,0,773.5283841,-4,2
282.7823914,-0.001328048,9.577213067,0,758.6345084,-3,2
282.8323914,-0.005264577,9.570090473,0,741.4621445,-0.094529515,2
282.8823914,0.000844037,9.547264973,0,730.5412946,4.165624978,2
282.9323914,-0.004781761,9.496029841,0,724.7286506,7,2
282.9823914,-0.003079027,9.432515714,0,727.852018,7,2
283.0323914,-0.005333962,9.39143705,0,734.2254698,5.446575305,2
283.0823914,-0.014697562,9.345600442,0,744.9660342,2,2
283.1323914,-0.000521118,9.33278387,0,756.6422471,-1,2
283.1823914,-0.005662195,9.289060088,0,766.4278132,-2.154140119,2
283.2323914,0.002556604,9.2064706,0,774.099631,-3.532258069,2
283.2823914,-0.000677301,9.163379186,0,777.5,-5,2
283.3323914,-0.001231875,9.158504028,0,780.5997826,-4,2
283.3823914,-0.005912195,9.115341637,0,779.2246269,-3.464179074,2
283.4323914,-0.000595624,9.059422794,0,775.2793177,-3,2
283.4823914,-0.001878049,9.067454472,0,770.8161435,-2,2
283.5323914,-0.004958025,9.032622278,0,764.6772901,-0.452962964,2
283.5823914,-0.008395077,9.004882407,0,760.7273707,0,2
283.6323914,0.000796865,8.918791961,0,756.796468,-1.258297799,2
283.6823914,-0.003,8.876605413,0,751.4480331,0.53651453,2
283.7323914,-0.002364486,8.876311627,0,751.4635294,1,2
283.7823914,-0.004134556,8.797876691,0,749.69,1.821171153,2
283.8323914,-0.007706542,8.75979652,0,750.5,1,2
283.8823914,-0.003627778,8.780810393,0,752.8651584,1,2
283.9323914,-0.001576471,8.795821791,0,754.5222457,0,2
