AccelActuPosHSC1,EnSpdHSC1,MSLongAccelGHSC,EnToqActuExtdRngHSC1,VehSpdAvgDrvnHSC1,VehSpdAvgNonDrvnHSC1,AutocTrCmddGear_TCMHSC1,TrEstdGear_TCMHSC1,EnActuStdyStaToq_LSBHSC1,EnActuStdyStaToq_MSBHSC1,kickdown
0,1359.5,-0.005,14,0,0,4,4,-843,856,0
0,1359.5,0,14,0,0,4,4,-843,856,0
0,1362,0.003,12.5,0,0,4,4,-843.5,856,0
0,1362,0,12.5,0,0,4,4,-844,856,0
0,1360.5,0.005,12,0,0,4,4,-845,856,0
0,1359.5,-0.011,10,33.672,33.578,4,4,-846.5,856,0
0,1393.5,0.08,8,33.453,33.516,4,4,-848,856,0
0,1520,-0.018,7,33.516,33.359,4,4,-841,848,0
0,1497,-0.014,-6,36.922,36.844,4,4,-846,840,0
0,1508.5,0.002,-8.5,36.797,36.859,4,4,-840.5,832,0
0,1494,-0.011,-10,36.688,36.516,4,4,-842,832,0
0,1514,-0.014,-10.5,36.688,36.516,4,4,-842.5,832,0
0,1513.5,-0.003,-11,36.516,36.469,4,4,-843,832,0
0,1487.5,-0.01,-12,36.516,36.469,4,4,-844,832,0
0,1495,-0.029,-12,36.5,36.313,4,4,-844,832,0
0,1507.5,-0.002,-12,36.5,36.313,4,4,-844,832,0
0,1491,-0.002,-12.5,36.359,36.266,4,4,-844.5,832,0
0,1483,-0.022,-13.5,36.359,36.266,4,4,-845.5,832,0
0,1499,-0.011,-13.5,36.234,36.125,4,4,-845.5,832,0
0,1487,-0.002,-13.5,36.234,36.125,4,4,-845.5,832,0
0,1474.5,-0.018,-13.5,36.219,36.047,4,4,-845.5,832,0
0,1487.5,-0.027,-13.5,36.219,36.047,4,4,-845.5,832,0
0,1488.5,-0.014,-13.5,36,35.938,4,4,-845.5,832,0
0,1471,-0.006,-13.5,36,35.938,4,4,-845.5,832,0
0,1471,-0.027,-13.5,35.969,35.828,4,4,-845.5,832,0
9.804,1477.5,-0.019,-13.5,35.969,35.828,4,4,-844.5,832,0
25.098,1467,-0.016,-6.5,35.766,35.688,4,4,-846.5,840,0
42.353,1486,-0.011,-1.5,35.766,35.688,4,4,-846.5,840,0
42.745,1498,0.002,-4,35.719,35.656,4,4,-844,840,0
42.745,1492.5,0.006,3,35.719,35.656,4,4,-844.5,848,0
42.745,1503.5,0.016,3.5,35.594,35.5,4,4,-844.5,848,0
42.745,1480.5,0.037,14.5,35.594,35.5,4,4,-841,856,0
42.745,1464.5,0.014,19,35.703,35.516,4,4,-845.5,864,0
42.745,1469,0.029,18,35.703,35.516,4,4,-845.5,864,0
42.745,1483.5,0.041,21.5,35.563,35.516,4,4,-847.5,872,0
42.745,1465.5,0.046,38,35.563,35.516,4,4,-841.5,880,0
43.137,1483,0.033,38,35.797,35.578,4,4,-845,888,0
43.137,1489.5,0.043,56,35.797,35.578,4,4,-848,904,0
43.137,1494.5,0.067,65.5,35.781,35.656,4,4,-842.5,912,0
43.137,1497.5,0.077,76.5,35.781,35.656,4,4,-843.5,920,0
43.137,1499,0.086,83.5,36,35.766,4,4,-844.5,928,0
43.137,1489.5,0.08,86.5,36,35.766,4,4,-841.5,928,0
43.137,1505.5,0.085,91.5,36.156,35.922,4,4,-847.5,944,0
43.137,1515.5,0.088,100.5,36.156,35.922,4,4,-843.5,944,0
43.137,1512.5,0.096,101,36.406,36.141,4,4,-843,944,0
43.137,1512.5,0.094,101.5,36.406,36.141,4,4,-842.5,944,0
43.137,1518.5,0.096,101.5,36.547,36.359,4,4,-842,944,0
43.137,1523.5,0.089,103.5,36.547,36.359,4,4,-840.5,944,0
43.137,1536,0.097,104.5,36.875,36.609,4,4,-847.5,952,0
43.137,1538,0.094,105,36.875,36.609,4,4,-847,952,0
43.137,1540,0.1,105,37.094,36.75,4,4,-847,952,0
43.137,1550.5,0.099,106,37.094,36.75,4,4,-846.5,952,0
43.137,1558,0.097,105.5,37.328,37.188,4,4,-846.5,952,0
43.137,1562.5,0.092,105,37.328,37.188,4,4,-847,952,0
43.137,1562,0.104,105,37.672,37.297,4,4,-847,952,0
43.137,1572,0.097,105,37.672,37.297,4,4,-847,952,0
43.137,1576.5,0.102,104.5,37.938,37.688,4,4,-847.5,952,0
43.137,1580,0.096,104,37.938,37.688,4,4,-848,952,0
41.176,1588,0.096,103,38.188,37.969,4,4,-841,944,0
31.373,1590.5,0.094,100.5,38.188,37.969,4,4,-844.5,944,0
14.118,1595.5,0.091,98.5,38.391,38.125,4,4,-845.5,944,0
